failed_accession	gene_names	PWM_annotation_level	primary_structural_status	canonical_reference_accession	canonical_reference_status	action_for_baldo	database_display_recommendation	manual_review_required	classification_confidence	decision_reason
C9J845	MITF	Homologous_PWM	ACCESSION_LACKS_DBD	O75030	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
C9J8V6	HBP1	Homologous_PWM	ACCESSION_LACKS_DBD	H7C4S2	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
C9JAW1	HBP1	Homologous_PWM	ACCESSION_LACKS_DBD	H7C4S2	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
C9JPH0	CREB3L2	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW	Q70SY1	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
C9JQU7	HBP1	Homologous_PWM	ACCESSION_LACKS_DBD	H7C4S2	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
D1LUZ8	C20orf112/RUNX1 fusion	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW		NO_CANONICAL_REFERENCE_FOUND	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
D2KFR9	STAT1	Identical_PWM	ACCESSION_LACKS_DBD	A0A669KB52	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
D6RAB1	LEF1	Identical_PWM	ACCESSION_LACKS_DBD	Q9UJU2	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
D6RID7	LEF1	Homologous_PWM	UNCERTAIN_MANUAL_REVIEW	Q9UJU2	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
D6RIV1	LEF1	Identical_PWM	ACCESSION_LACKS_DBD	Q9UJU2	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
E0ZS57	TEF	Identical_PWM	ACCESSION_LACKS_DBD	Q10587	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
E5RG75	TCF7	Identical_PWM	ACCESSION_LACKS_DBD	E5RHL1	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
E5RJ51	TCF7	Identical_PWM	ACCESSION_LACKS_DBD	E5RHL1	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
E7EU07	PPARG	Identical_PWM	ACCESSION_LACKS_DBD	Q4W4C7	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
E9PKB7	TEAD1	Identical_PWM	UNCERTAIN_MANUAL_REVIEW	H0YE88	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
E9PL67	HINFP	Identical_PWM	ACCESSION_LACKS_DBD	Q9BQA5	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
E9PN75	EHF	Identical_PWM	ACCESSION_LACKS_DBD	Q9NZC4	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
E9PPS9	EHF	Identical_PWM	ACCESSION_LACKS_DBD	Q9NZC4	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
E9PQA2	USF1	Identical_PWM	UNCERTAIN_MANUAL_REVIEW	H0YD59	CANONICAL_REFERENCE_INTERFACE_VALID	MANUAL_REVIEW_BEFORE_SENDING	NO_DISPLAY_CHANGE_PENDING_MANUAL_REVIEW	YES	LOW	Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.
E9PQR6	EHF	Identical_PWM	ACCESSION_LACKS_DBD	Q9NZC4	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
E9PQX0	EHF	Identical_PWM	ACCESSION_LACKS_DBD	Q9NZC4	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
F5GWL1	SOX5	Identical_PWM	ACCESSION_LACKS_DBD	P35711	CANONICAL_REFERENCE_INTERFACE_VALID	NO_SEND_CANONICAL_REFERENCE_ONLY	DISPLAY_ACCESSION_DNA_STRUCTURE_UNAVAILABLE_CANONICAL_REFERENCE_SEPARATE	NO	HIGH	Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.
