tf_id	accession	gene	protein_name	PWM_annotation	PWM_count	PWM_source_or_provenance	reviewed_status	sequence_length	canonical_accession	expected_DBD	previous_pfam_status	current_sqlite_pfam_status	DBD_coverage_percent	DBD_identity_percent	failed_coordinates_corresponding_to_DBD	final_DBD_interpretation	evidence_interpretation	remaining_uncertainty
A2RRN1	A2RRN1	CREB3L2	CREB3L2 protein	Homologous_PWM	1	jaspar:homologous:1	UNREVIEWED	174	Q70SY1	PF00170:292-354:bZIP transcription factor	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	3.17	100.00	166-167	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=3.17%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
A8K549	A8K549		cDNA FLJ78348	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	248	O43364	PF00046:Homeodomain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	52.63	30.00	134-163	UNRESOLVED	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=UNCERTAIN_MANUAL_REVIEW, DBD disposition=UNCERTAIN, coverage=52.63%, identity=30.00%. Local TF search resolves a likely gene, but DBD completeness remains below adjudication thresholds.	Gene suggestion passes search thresholds; DBD interpretation remains uncertain.
A8MTU8	A8MTU8		cDNA FLJ38006 fis, clone CTONG2012422, highly similar to Sterol regulatory element-binding protein 1	Homologous_PWM	3	cisbp:homologous:1;jaspar:homologous:2	UNREVIEWED	766	P36956	PF00010:Helix-loop-helix DNA-binding domain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	21.57	72.73	68-78	UNRESOLVED	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=UNCERTAIN_MANUAL_REVIEW, DBD disposition=UNCERTAIN, coverage=21.57%, identity=72.73%. Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.
B1NY96	B1NY96	TCF3-ZNF384	E2A-NMP4 fusion protein	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	197		PF00010:Helix-loop-helix DNA-binding domain;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	0.00	0.00		FUSION_OR_COMPLEX_CASE	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=UNCERTAIN_MANUAL_REVIEW, DBD disposition=UNCERTAIN, coverage=0.00%, identity=0.00%. Parent-by-parent alignments do not demonstrate a complete high-confidence DBD.	Fusion structure and breakpoint remain unresolved; no TF-parent DBD is assumed.
B3KU95	B3KU95		cDNA FLJ39423 fis, clone PROST1000322, highly similar to HOMEOBOX PROTEIN HOX-A2	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	248	O43364	PF00046:Homeodomain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	42.11	33.33	134-157	UNRESOLVED	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=UNCERTAIN_MANUAL_REVIEW, DBD disposition=UNCERTAIN, coverage=42.11%, identity=33.33%. Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.
B4DTN3	B4DTN3		cDNA FLJ58424, highly similar to MBD2-interacting zinc finger protein	Homologous_PWM	1	jaspar:homologous:1	UNREVIEWED	143	Q9BQA5	PF13894:C2H2-type zinc finger;PF00096:Zinc finger, C2H2 type;PF00096:Zinc finger, C2H2 type	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	5.71	100.00	135-142	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=5.71%, identity=100.00%. Local TF search resolves the gene and canonical alignment supports loss of the DBD.	
B4E2G3	B4E2G3		cDNA FLJ58974, highly similar to Homo sapiens cAMP responsive element binding protein 3-like 4 (CREB3L4), mRNA	Homologous_PWM	1	jaspar:homologous:1	UNREVIEWED	202	Q8TEY5	PF00170:bZIP transcription factor	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	13.56	75.00	150-157	UNRESOLVED	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=UNCERTAIN_MANUAL_REVIEW, DBD disposition=UNCERTAIN, coverage=13.56%, identity=75.00%. Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.
B5MCD3	B5MCD3	HOXD12	Homeobox D12	Homologous_PWM	1	jaspar:homologous:1	UNREVIEWED	246	P35452	PF00046:Homeodomain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	66.67	39.47	203-243	UNRESOLVED	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=UNCERTAIN_MANUAL_REVIEW, DBD disposition=UNCERTAIN, coverage=66.67%, identity=39.47%. Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.
B7Z5Z3	B7Z5Z3		cDNA FLJ55780, highly similar to Transcription factor SOX-5	Homologous_PWM	5	cisbp:homologous:2;cisbp:relative_homologous:1;jaspar:homologous:1;jaspar:relative_homologous:1	UNREVIEWED	509	P35711	PF00505:556-624:HMG (high mobility group) box	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	5.80	100.00	490-493	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=5.80%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
C9J5U3	C9J5U3	HBP1	HMG-box transcription factor 1	Homologous_PWM	1	cisbp:homologous:1	UNREVIEWED	111	H7C4S2	MODEL_INTERVAL:423-450	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	3.57	100.00	111-111	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=3.57%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
C9J8V6	C9J8V6	HBP1	HMG-box transcription factor 1	Homologous_PWM	1	cisbp:homologous:1	UNREVIEWED	108	H7C4S2	MODEL_INTERVAL:423-450	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	3.57	100.00	108-108	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=3.57%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
C9JAW1	C9JAW1	HBP1	HMG-box transcription factor 1	Homologous_PWM	1	cisbp:homologous:1	UNREVIEWED	70	H7C4S2	MODEL_INTERVAL:423-450	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	7.14	100.00	69-70	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=7.14%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
C9JPH0	C9JPH0	CREB3L2	cAMP responsive element binding protein 3 like 2	Homologous_PWM	1	jaspar:homologous:1	UNREVIEWED	185	Q70SY1	PF00170:bZIP transcription factor	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	22.22	71.43	140-153	UNRESOLVED	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=UNCERTAIN_MANUAL_REVIEW, DBD disposition=UNCERTAIN, coverage=22.22%, identity=71.43%. Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.
C9JQU7	C9JQU7	HBP1	HMG-box transcription factor 1	Homologous_PWM	1	cisbp:homologous:1	UNREVIEWED	124	H7C4S2	MODEL_INTERVAL:423-450	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	3.57	100.00	124-124	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=3.57%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
D1LUZ8	D1LUZ8	C20orf112/RUNX1	C20orf112/RUNX1 fusion protein	Homologous_PWM	2	cisbp:homologous:1;jaspar:homologous:1	UNREVIEWED	170	Q01196	PF00853:Runt domain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	9.38	91.67	9-20	INCOMPLETE_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_CONTAINS_INCOMPLETE_DBD, DBD disposition=INCOMPLETE_DBD, coverage=9.38%, identity=91.67%. Fusion retains only part of a parent DBD; no complete sendable DBD is demonstrated.	Fusion breakpoint and both parent contributions remain explicitly recorded.
E0ZS57	E0ZS57	TEF	Thyrotrophic embryonic factor	Identical_PWM	1	cisbp:identical:1	UNREVIEWED	114	Q10587	PF07716:232-285:Basic region leucine zipper	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	5.56	100.00	110-112	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=5.56%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
E9PL67	E9PL67	HINFP	Histone H4 transcription factor	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	100	Q9BQA5	PF13894:229-251:C2H2-type zinc finger;PF00096:255-278:Zinc finger, C2H2 type;PF00096:345-368:Zinc finger, C2H2 type	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	9.29	100.00	84-96	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=9.29%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
E9PQA2	E9PQA2	USF1	Upstream transcription factor 1	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	105	P22415	PF00010:Helix-loop-helix DNA-binding domain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	40.00	35.71	50-63	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=40.00%, identity=35.71%. DBD coverage is at most 10%; at least 40 non-DBD residues align at at least 80% identity.	
F5GWL1	F5GWL1	SOX5	SRY-box transcription factor 5	Identical_PWM	1	cisbp:identical:1	UNREVIEWED	144	P35711	PF00505:556-624:HMG (high mobility group) box	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	7.25	100.00	134-138	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=7.25%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
G3V0H1	G3V0H1	SOX5	SRY-box transcription factor 5	Homologous_PWM	3	cisbp:homologous:2;jaspar:homologous:1	UNREVIEWED	128	P35711	PF00505:HMG (high mobility group) box	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	10.14	100.00	112-118	UNRESOLVED	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=UNCERTAIN_MANUAL_REVIEW, DBD disposition=UNCERTAIN, coverage=10.14%, identity=100.00%. Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.
G3V289	G3V289	FOS	Protein c-Fos (Cellular oncogene fos)	Homologous_PWM	3	jaspar:homologous:2;jaspar:relative_homologous:1	UNREVIEWED	170	P01100	PF00170:bZIP transcription factor	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	11.67	57.14	132-138	UNRESOLVED	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=UNCERTAIN_MANUAL_REVIEW, DBD disposition=UNCERTAIN, coverage=11.67%, identity=57.14%. Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.
G3V302	G3V302	MAX	MYC associated factor X	Homologous_PWM	2	cisbp:homologous:1;jaspar:homologous:1	UNREVIEWED	97	P61244	PF00010:Helix-loop-helix DNA-binding domain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	49.02	52.00	9-33	UNRESOLVED	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=UNCERTAIN_MANUAL_REVIEW, DBD disposition=UNCERTAIN, coverage=49.02%, identity=52.00%. Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.
H0Y797	H0Y797	TEF	TEF transcription factor, PAR bZIP family member	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	184	Q10587	PF07716:232-285:Basic region leucine zipper	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	0.00	0.00		PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=0.00%, identity=0.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
H0Y7E5	H0Y7E5	SREBF2	Sterol regulatory element binding transcription factor 2	Homologous_PWM	2	cisbp:relative_homologous:1;jaspar:homologous:1	UNREVIEWED	257	Q12772	PF00010:Helix-loop-helix DNA-binding domain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	17.65	66.67	65-73	UNRESOLVED	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=UNCERTAIN_MANUAL_REVIEW, DBD disposition=UNCERTAIN, coverage=17.65%, identity=66.67%. Available evidence does not meet an approved automatic present/absent rule. PWM/database inclusion is not changed by this structural recommendation.	Coverage/identity does not satisfy a conservative automatic rule.
I3L0A5	I3L0A5	SOX5	SRY-box transcription factor 5	Homologous_PWM	5	cisbp:homologous:2;cisbp:relative_homologous:1;jaspar:homologous:1;jaspar:relative_homologous:1	UNREVIEWED	509	P35711	PF00505:556-624:HMG (high mobility group) box	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	5.80	100.00	490-493	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=5.80%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
K7ELF3	K7ELF3	TCF3	Transcription factor 3	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	151	P15923	PF00010:Helix-loop-helix DNA-binding domain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	37.74	60.00	105-124	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=37.74%, identity=60.00%. DBD coverage is at most 10%; at least 40 non-DBD residues align at at least 80% identity.	
K7EMD1	K7EMD1	SREBF1	Sterol regulatory element binding transcription factor 1	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	157	P36956	PF00010:324-374:Helix-loop-helix DNA-binding domain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	0.00	0.00		PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=0.00%, identity=0.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
K7ENI0	K7ENI0	TCF3	Transcription factor 3	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	95	P15923	PF00010:Helix-loop-helix DNA-binding domain	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	18.87	60.00	73-82	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=18.87%, identity=60.00%. DBD coverage is at most 10%; at least 40 non-DBD residues align at at least 80% identity.	
Q5T4K9	Q5T4K9	CREB3L4	cAMP responsive element binding protein 3 like 4	Identical_PWM	1	jaspar:identical:1	UNREVIEWED	217	Q8TEY5	PF00170:215-273:bZIP transcription factor	NO_ACCEPTED_HIT_UNDER_PREVIOUS_THRESHOLDS	NO_PFAM_ANNOTATION	1.69	100.00	212-212	PARTIAL_ACCESSION_MISSING_DBD	Previous failed-accession Pfam38 fragment scan: no_valid_pfam_annotation; canonical/reference alignment review: status=ACCESSION_LACKS_DBD, DBD disposition=NO_DBD, coverage=1.69%, identity=100.00%. Canonical DBD coverage is at most 10%, while at least 40 non-DBD canonical residues align at at least 80% identity. PWM/database inclusion is not changed by this structural recommendation.	
