area	pi_request	current_behavior	evidence_file_or_table	safe_ui_only_change	requires_db_change	recommended_action	status
terminology	Homologous PWM -> Nearest Neighbor (>70%)	Central display map currently renders Homologous PWM	app.py:41-45	Yes	No	Change display map/docs only	PASS
terminology	Relatively Homologous PWM -> Nearest Neighbor (70% - 40%)	Current prose says 50.0-69.9%; requested interval overlaps at 70 and changes lower bound	app.py:62-64	Partial	Maybe	Confirm threshold and whether links require reclassification before relabelling	NEEDS_DECISION
terminology	Scan this region -> Scan	One TF-page link uses Scan this region	templates/tf.html:103	Yes	No	Replace link text with Scan	PASS
terminology	active PDB models/active models -> 3D models	Multiple public counts and lists use active model/PDB wording	templates/tf.html:19,112,261,263,276; templates/docs.html:21-23,60; templates/search.html:78,122	Yes	No	Replace display labels; retain active-PDB filtering	PASS
terminology	w=0/no matrix -> Missing MEME	width_zero_no_matrix maps to w=0 / no matrix and appears in public QC text	app.py:130-151; templates/motif.html:188-199; templates/docs.html:378-380	Yes	No	Change display map and remove/rewrite requested explanatory prose; retain raw QC key	PASS
terminology	FIMO Ready -> Generated PWM	Current label is FIMO-ready and means a scanner-usable matrix	app.py:130-139; templates/tf.html; templates/search.html; templates/motif.html; templates/docs.html	Yes	No	Confirm whether Generated PWM is intended to replace scanner readiness before changing display text	NEEDS_DECISION
terminology	Motif evidence -> Motif Prediction	TF-page section is Motif Evidence	templates/tf.html:128-133	Yes	No	Rename this section to Motif Prediction	PASS
terminology	PREDICTED = LOW	Current ModCRE and AlphaFold trust badges say Predicted	app.py:60-74; templates/evidence.html:11-19	Yes	No	Confirm LOW capitalization and whether it replaces only trust badges	NEEDS_DECISION
terminology	Active model files -> 3D Models	TF structural list says Show active PDB model files	templates/tf.html:258-276	Yes	No	Rename display heading/summary to 3D Models	PASS
terminology	TF Motif DB -> ModCRE DB	No exact public UI string found; a non-runtime grant-report title is similar	make_grant_stats_pdf.py:313,360	Yes	No	Change generated report title only if within PI scope	NOT_TESTED
model_summary	Remove rank/residues/model columns	Embedded summary table has Rank/Residues/Model; full page has Rank/Model file but no Residues	templates/tf.html:280-289; templates/model_summaries.html:23-69	Yes	No	Remove only summary-table columns after confirming structural-model tables are out of scope	PASS
model_summary	Remove duplicate summaries	No active duplicate groups under exact-content, model identity, or matched-structure keys	model_summary; app.py:2049-2060; app.py:2424-2439	Yes	No	Define PI duplicate key and deduplicate display/query only; do not delete rows	NEEDS_DECISION
model_summary	Audit model source and oligomer state	Source is present; no dedicated oligomer column; paths explicitly mark 1,941 dimers and 402 monomers but 9,729 active PDBs unclassified	structure_file; model_summary	Partial	Maybe	Group explicit paths in UI; keep unclassified separate pending source confirmation/import classification	WARNING
alphafold_region	Show AlphaFold as Full sequence	All 4,296 active AlphaFold PDBs have null residue intervals, so current numeric region grouping excludes them	structure_file; app.py:938-989; app.py:1194-1276	No	No	Add a source=alphafold full_sequence group plus optional scan sentinel; omit one TF lacking sequence length	FAIL
models	Split 3D models into DIMERS and MONOMERS when both exist	67 TFs have both explicit monomer and dimer paths; current UI shows one combined list	structure_file; templates/tf.html:258-296	Partial	Maybe	Display DIMERS/MONOMERS/Unclassified groups; do not infer unclassified path state	WARNING
