TF_name	TF_family	Identical_PWM	Homologous_PWM	Relatively_Homologous_PWM	ModCRE	AlphaFold	Best_annotation_level	Best_PWM_or_model	N_nonempty_annotation_columns
A0A075B7G4	zf-C2H2_4,C1_4,zf-C2H2,DNA_RNApol_7kD,C1_3,zf-C2H2_jaz,zf-trcl,Ogr_Delta,KRAB,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,HTH_Tnp_ISL3,Zn_Tnp_IS1595,DUF164,GAGA,ADK_lid,zf-C2H2_6			M00782_2.00 (57.8%);M00786_2.00 (50.0%);M00939_2.00 (62.3%);M00943_2.00 (58.8%);M00944_2.00 (60.0%);M00945_2.00 (59.7%);M00948_2.00 (58.8%);M00950_2.00 (60.0%);M00952_2.00 (60.0%);M00953_2.00 (60.0%);M00955_2.00 (68.2%);M00958_2.00 (60.0%);M00959_2.00 (60.0%);M00960_2.00 (60.0%);M01181_2.00 (52.7%);M02924_2.00 (58.9%);M04387_2.00 (54.4%);M04465_2.00 (55.7%);M04505_2.00 (51.3%);M04536_2.00 (50.7%);M04598_2.00 (52.6%);M04611_2.00 (60.3%);M04613_2.00 (51.6%);M04621_2.00 (51.4%);M04650_2.00 (56.2%);M06169_2.00 (50.0%);M06179_2.00 (51.8%);M07562_2.00 (50.9%);M07565_2.00 (58.5%);M07566_2.00 (50.3%);M07575_2.00 (62.1%);M07578_2.00 (53.3%);M07581_2.00 (53.9%);M07586_2.00 (65.5%);M07620_2.00 (50.0%);M07648_2.00 (50.6%);M07649_2.00 (50.6%);M07658_2.00 (52.9%);M07666_2.00 (52.2%);M07687_2.00 (60.0%);M07714_2.00 (61.5%);M07715_2.00 (63.3%);M07727_2.00 (52.3%);M07753_2.00 (54.6%);M07761_2.00 (58.0%);M07767_2.00 (54.5%);M07775_2.00 (60.6%);M08254_2.00 (51.3%);M08255_2.00 (51.1%);M08263_2.00 (50.7%);M08267_2.00 (55.4%);M08295_2.00 (63.1%);M08314_2.00 (50.2%);M08325_2.00 (57.9%);M08329_2.00 (55.1%);M08330_2.00 (50.4%);M08334_2.00 (54.4%);M08355_2.00 (57.2%);M08375_2.00 (59.2%);M08381_2.00 (59.7%);M08395_2.00 (55.1%);M08901_2.00 (53.1%);M08908_2.00 (51.1%);M08921_2.00 (58.7%);M08934_2.00 (57.7%);M08949_2.00 (54.1%);M08985_2.00 (57.8%);MA1124.1 (58.6%);MA1596.1 (52.3%);MA1599.1 (56.9%);MA1602.1 (54.5%);MA1656.1 (50.7%)			Relatively_Homologous_PWM	M00782_2.00 (57.8%);M00786_2.00 (50.0%);M00939_2.00 (62.3%);M00943_2.00 (58.8%);M00944_2.00 (60.0%);M00945_2.00 (59.7%);M00948_2.00 (58.8%);M00950_2.00 (60.0%);M00952_2.00 (60.0%);M00953_2.00 (60.0%);M00955_2.00 (68.2%);M00958_2.00 (60.0%);M00959_2.00 (60.0%);M00960_2.00 (60.0%);M01181_2.00 (52.7%);M02924_2.00 (58.9%);M04387_2.00 (54.4%);M04465_2.00 (55.7%);M04505_2.00 (51.3%);M04536_2.00 (50.7%);M04598_2.00 (52.6%);M04611_2.00 (60.3%);M04613_2.00 (51.6%);M04621_2.00 (51.4%);M04650_2.00 (56.2%);M06169_2.00 (50.0%);M06179_2.00 (51.8%);M07562_2.00 (50.9%);M07565_2.00 (58.5%);M07566_2.00 (50.3%);M07575_2.00 (62.1%);M07578_2.00 (53.3%);M07581_2.00 (53.9%);M07586_2.00 (65.5%);M07620_2.00 (50.0%);M07648_2.00 (50.6%);M07649_2.00 (50.6%);M07658_2.00 (52.9%);M07666_2.00 (52.2%);M07687_2.00 (60.0%);M07714_2.00 (61.5%);M07715_2.00 (63.3%);M07727_2.00 (52.3%);M07753_2.00 (54.6%);M07761_2.00 (58.0%);M07767_2.00 (54.5%);M07775_2.00 (60.6%);M08254_2.00 (51.3%);M08255_2.00 (51.1%);M08263_2.00 (50.7%);M08267_2.00 (55.4%);M08295_2.00 (63.1%);M08314_2.00 (50.2%);M08325_2.00 (57.9%);M08329_2.00 (55.1%);M08330_2.00 (50.4%);M08334_2.00 (54.4%);M08355_2.00 (57.2%);M08375_2.00 (59.2%);M08381_2.00 (59.7%);M08395_2.00 (55.1%);M08901_2.00 (53.1%);M08908_2.00 (51.1%);M08921_2.00 (58.7%);M08934_2.00 (57.7%);M08949_2.00 (54.1%);M08985_2.00 (57.8%);MA1124.1 (58.6%);MA1596.1 (52.3%);MA1599.1 (56.9%);MA1602.1 (54.5%);MA1656.1 (50.7%)	1
A0A076MKN9	Homeobox,Caudal_act		M02211_2.00 (73.0%);M05019_2.00 (75.3%);M06224_2.00 (72.5%);M09193_2.00 (95.1%);MA0465.1 (98.2%)				Homologous_PWM	M02211_2.00 (73.0%);M05019_2.00 (75.3%);M06224_2.00 (72.5%);M09193_2.00 (95.1%);MA0465.1 (98.2%)	1
A0A087WSW2	zf-C2H2_4,C1_4,zf-C2H2,DNA_RNApol_7kD,C1_3,zf-C2H2_jaz,KRAB,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,HTH_Tnp_ISL3,Zn_Tnp_IS1595,GAGA,zf-C2H2_6,BolA		M00955_2.00 (76.1%);M08381_2.00 (73.0%)				Homologous_PWM	M00955_2.00 (76.1%);M08381_2.00 (73.0%)	1
A0A087WT22	P53		M03440_2.00 (85.5%);M11197_2.00 (99.4%);MA0106.1 (99.4%)				Homologous_PWM	M03440_2.00 (85.5%);M11197_2.00 (99.4%);MA0106.1 (99.4%)	1
A0A087WT67	zf-C2H2_4,C1_4,zf-C2H2,C1_3,zf-C2H2_jaz,KRAB,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,HTH_Tnp_ISL3,GAGA,Zn_Tnp_IS1595,DUF164,zf-C2H2_6			M00142_2.00 (50.7%);M00609_2.00 (50.8%);M00939_2.00 (59.5%);M00943_2.00 (62.3%);M00944_2.00 (61.9%);M00945_2.00 (55.8%);M00948_2.00 (60.0%);M00950_2.00 (61.1%);M00952_2.00 (62.3%);M00953_2.00 (64.7%);M00955_2.00 (68.2%);M00958_2.00 (60.7%);M00959_2.00 (61.1%);M00960_2.00 (63.5%);M02924_2.00 (60.6%);M04387_2.00 (58.0%);M04465_2.00 (51.4%);M04475_2.00 (53.6%);M04505_2.00 (50.6%);M04598_2.00 (56.5%);M04611_2.00 (53.4%);M04613_2.00 (51.3%);M04650_2.00 (56.0%);M05847_2.00 (57.2%);M07578_2.00 (53.5%);M07613_2.00 (57.1%);M07620_2.00 (52.1%);M07633_2.00 (52.3%);M07649_2.00 (51.7%);M07683_2.00 (53.5%);M07685_2.00 (53.4%);M07762_2.00 (55.8%);M08295_2.00 (57.4%);M08325_2.00 (57.3%);M08357_2.00 (53.4%);M08381_2.00 (50.9%);M08901_2.00 (52.1%);M08985_2.00 (60.7%);MA1124.1 (60.9%);MA1585.1 (57.2%);MA1592.1 (53.1%);MA1601.1 (53.5%);MA1602.1 (51.9%)			Relatively_Homologous_PWM	M00142_2.00 (50.7%);M00609_2.00 (50.8%);M00939_2.00 (59.5%);M00943_2.00 (62.3%);M00944_2.00 (61.9%);M00945_2.00 (55.8%);M00948_2.00 (60.0%);M00950_2.00 (61.1%);M00952_2.00 (62.3%);M00953_2.00 (64.7%);M00955_2.00 (68.2%);M00958_2.00 (60.7%);M00959_2.00 (61.1%);M00960_2.00 (63.5%);M02924_2.00 (60.6%);M04387_2.00 (58.0%);M04465_2.00 (51.4%);M04475_2.00 (53.6%);M04505_2.00 (50.6%);M04598_2.00 (56.5%);M04611_2.00 (53.4%);M04613_2.00 (51.3%);M04650_2.00 (56.0%);M05847_2.00 (57.2%);M07578_2.00 (53.5%);M07613_2.00 (57.1%);M07620_2.00 (52.1%);M07633_2.00 (52.3%);M07649_2.00 (51.7%);M07683_2.00 (53.5%);M07685_2.00 (53.4%);M07762_2.00 (55.8%);M08295_2.00 (57.4%);M08325_2.00 (57.3%);M08357_2.00 (53.4%);M08381_2.00 (50.9%);M08901_2.00 (52.1%);M08985_2.00 (60.7%);MA1124.1 (60.9%);MA1585.1 (57.2%);MA1592.1 (53.1%);MA1601.1 (53.5%);MA1602.1 (51.9%)	1
A0A087WTB1	zf-C2H2_4,zf-C2H2,C1_3,zf-C2H2_jaz,zf-met,XPA_N,zf-H2C2_2,Yippee,GAGA,C1_1,C1_4,TFIIS_C,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zinc_ribbon_2,zf-C2H2_6,Prok-RING_1,KRAB,Siva,zf-H2C2_5,LIM,DNA_RNApol_7kD,CxxC_CxxC_SSSS,Ribosomal_L44			M00782_2.00 (59.5%);M00786_2.00 (51.3%);M00939_2.00 (57.6%);M00943_2.00 (61.1%);M00944_2.00 (58.8%);M00948_2.00 (58.8%);M00950_2.00 (60.0%);M00952_2.00 (60.0%);M00953_2.00 (62.3%);M00955_2.00 (57.6%);M00958_2.00 (58.8%);M00959_2.00 (62.3%);M00960_2.00 (61.1%);M02924_2.00 (57.5%);M04387_2.00 (54.6%);M04465_2.00 (55.1%);M04505_2.00 (51.0%);M04536_2.00 (51.5%);M04590_2.00 (51.1%);M04598_2.00 (50.4%);M04611_2.00 (62.7%);M04613_2.00 (55.4%);M04621_2.00 (55.7%);M04650_2.00 (53.2%);M04653_2.00 (60.9%);M06179_2.00 (52.8%);M07649_2.00 (57.5%);M07657_2.00 (53.9%);M07678_2.00 (53.4%);M07746_2.00 (57.3%);M07753_2.00 (53.1%);M07762_2.00 (52.6%);M07777_2.00 (57.0%);M08247_2.00 (50.4%);M08254_2.00 (51.2%);M08255_2.00 (55.7%);M08291_2.00 (51.9%);M08314_2.00 (55.6%);M08325_2.00 (52.2%);M08329_2.00 (57.0%);M08355_2.00 (59.1%);M08357_2.00 (50.2%);M08373_2.00 (55.6%);M08381_2.00 (56.0%);M08386_2.00 (52.1%);M08392_2.00 (57.9%);M08901_2.00 (53.2%);M08985_2.00 (57.3%);MA0528.1 (50.0%);MA1124.1 (57.7%);MA1602.1 (51.7%);MA1656.1 (50.2%)			Relatively_Homologous_PWM	M00782_2.00 (59.5%);M00786_2.00 (51.3%);M00939_2.00 (57.6%);M00943_2.00 (61.1%);M00944_2.00 (58.8%);M00948_2.00 (58.8%);M00950_2.00 (60.0%);M00952_2.00 (60.0%);M00953_2.00 (62.3%);M00955_2.00 (57.6%);M00958_2.00 (58.8%);M00959_2.00 (62.3%);M00960_2.00 (61.1%);M02924_2.00 (57.5%);M04387_2.00 (54.6%);M04465_2.00 (55.1%);M04505_2.00 (51.0%);M04536_2.00 (51.5%);M04590_2.00 (51.1%);M04598_2.00 (50.4%);M04611_2.00 (62.7%);M04613_2.00 (55.4%);M04621_2.00 (55.7%);M04650_2.00 (53.2%);M04653_2.00 (60.9%);M06179_2.00 (52.8%);M07649_2.00 (57.5%);M07657_2.00 (53.9%);M07678_2.00 (53.4%);M07746_2.00 (57.3%);M07753_2.00 (53.1%);M07762_2.00 (52.6%);M07777_2.00 (57.0%);M08247_2.00 (50.4%);M08254_2.00 (51.2%);M08255_2.00 (55.7%);M08291_2.00 (51.9%);M08314_2.00 (55.6%);M08325_2.00 (52.2%);M08329_2.00 (57.0%);M08355_2.00 (59.1%);M08357_2.00 (50.2%);M08373_2.00 (55.6%);M08381_2.00 (56.0%);M08386_2.00 (52.1%);M08392_2.00 (57.9%);M08901_2.00 (53.2%);M08985_2.00 (57.3%);MA0528.1 (50.0%);MA1124.1 (57.7%);MA1602.1 (51.7%);MA1656.1 (50.2%)	1
A0A087WTI6	GVQW,Cmyb_C,Myb_DNA-bind_4,Myb_DNA-bind_6,Myb_DNA-bind_2,LMSTEN,Spore_III_AB,Myb_DNA-binding	MA0100.3					Identical_PWM	MA0100.3	1
A0A087WU35	zf-C2H2_4,zf-C2H2,C1_3,zf-C2H2_jaz,XPA_N,zf-H2C2_2,C1_4,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zf-C2H2_6,DUF3557,KRAB,SprT-like,DNA_RNApol_7kD,CxxC_CxxC_SSSS,DUF164,Ribosomal_L44,Rep_fac-A_C,BolA		M00955_2.00 (80.0%);M07715_2.00 (70.9%)				Homologous_PWM	M00955_2.00 (80.0%);M07715_2.00 (70.9%)	1
A0A087WU46	zf-C2H2_4,zf-C2H2,zf-CHCC,C1_2,zf-C2H2_jaz,zf-H2C2_2,zf-C2H2_2,Zn_Tnp_IS1595,SprT-like,zf-C2H2_6	MA1508.1					Identical_PWM	MA1508.1	1
A0A087WUF3	IRF-3,Prefoldin,MH2,MH1		MA0513.1 (99.3%);MA1153.1 (97.5%)				Homologous_PWM	MA0513.1 (99.3%);MA1153.1 (97.5%)	1
A0A087WUK2	RRM_1,NID,RRM_6,CBFNT,RRM_3,RRM_5					a0a087wuk2.af3.4.meme;a0a087wuk2.af3.3.meme;a0a087wuk2.af3.2.meme;a0a087wuk2.af3.0.meme;a0a087wuk2.af3.5.meme;a0a087wuk2.af3.1.meme	AlphaFold	a0a087wuk2.af3.4.meme;a0a087wuk2.af3.3.meme;a0a087wuk2.af3.2.meme;a0a087wuk2.af3.0.meme;a0a087wuk2.af3.5.meme;a0a087wuk2.af3.1.meme	1
A0A087WUK4	DUF3892,DUF2318,Hormone_recep,zf-C4		M00812_2.00 (83.4%);M05599_2.00 (99.0%);M09275_2.00 (75.0%);MA1535.1 (99.0%)				Homologous_PWM	M00812_2.00 (83.4%);M05599_2.00 (99.0%);M09275_2.00 (75.0%);MA1535.1 (99.0%)	1
A0A087WUU8	zf-C2H2_4,zf-C2H2,Prok-RING_2,C1_3,zf-C2H2_jaz,XPA_N,zf-H2C2_2,C1_4,zinc_ribbon_5,zf-AN1,HTH_Tnp_ISL3,Zn_Tnp_IS1595,zf-C2H2_6,Desulfoferrod_N,zf-HIT,KRAB,ADK_lid,DNA_RNApol_7kD,zf-trcl,DUF1610,CxxC_CxxC_SSSS,DUF164,zf-C2HC_2,BolA		M00955_2.00 (77.6%);M07687_2.00 (73.5%);M07715_2.00 (75.5%);M08381_2.00 (72.7%);M08921_2.00 (72.1%);M08934_2.00 (71.2%)				Homologous_PWM	M00955_2.00 (77.6%);M07687_2.00 (73.5%);M07715_2.00 (75.5%);M08381_2.00 (72.7%);M08921_2.00 (72.1%);M08934_2.00 (71.2%)	1
A0A087WV68	VGCC_alpha2,RRM_1,RRM_6,Calcipressin,OB_RNB,RRM_3,RRM_5					a0a087wv68.af3.0.meme;a0a087wv68.af3.5.meme;a0a087wv68.af3.4.meme;a0a087wv68.af3.1.meme;a0a087wv68.af3.3.meme;a0a087wv68.af3.2.meme	AlphaFold	a0a087wv68.af3.0.meme;a0a087wv68.af3.5.meme;a0a087wv68.af3.4.meme;a0a087wv68.af3.1.meme;a0a087wv68.af3.3.meme;a0a087wv68.af3.2.meme	1
A0A087WVA2	zf-C2H2_4,C1_4,zf-C2H2,TFIIS_C,zf-BED,zf-C2H2_jaz,KRAB,XPA_N,zf-H2C2_2,CxxC_CxxC_SSSS,HTH_Tnp_ISL3,zf-C2H2_6,zf-LYAR			M00134_2.00 (54.2%);M00939_2.00 (63.0%);M00943_2.00 (64.2%);M00944_2.00 (63.0%);M00945_2.00 (54.6%);M00948_2.00 (61.9%);M00950_2.00 (61.9%);M00952_2.00 (65.4%);M00953_2.00 (63.0%);M00955_2.00 (58.3%);M00958_2.00 (61.9%);M00959_2.00 (63.0%);M00960_2.00 (63.0%);M02924_2.00 (57.8%);M04387_2.00 (53.3%);M04598_2.00 (51.4%);M04611_2.00 (53.4%);MA1124.1 (59.4%);MA1155.1 (51.6%);MA1513.1 (50.0%)			Relatively_Homologous_PWM	M00134_2.00 (54.2%);M00939_2.00 (63.0%);M00943_2.00 (64.2%);M00944_2.00 (63.0%);M00945_2.00 (54.6%);M00948_2.00 (61.9%);M00950_2.00 (61.9%);M00952_2.00 (65.4%);M00953_2.00 (63.0%);M00955_2.00 (58.3%);M00958_2.00 (61.9%);M00959_2.00 (63.0%);M00960_2.00 (63.0%);M02924_2.00 (57.8%);M04387_2.00 (53.3%);M04598_2.00 (51.4%);M04611_2.00 (53.4%);MA1124.1 (59.4%);MA1155.1 (51.6%);MA1513.1 (50.0%)	1
A0A087WVB7	MRP-L20,Homeobox,Homeobox_KN		M00354_2.00 (72.5%);M02111_2.00 (70.9%);M02231_2.00 (74.6%);M03076_2.00 (70.5%);M03204_2.00 (98.5%);M03855_2.00 (71.6%);M05367_2.00 (82.0%);M05419_2.00 (70.9%);M06291_2.00 (71.1%);M06326_2.00 (71.4%);MA0630.1 (82.0%);MA0680.1 (70.9%);MA0681.1 (71.4%);MA0713.1 (71.4%);MA0720.1 (94.0%);MA0721.1 (70.9%);MA0780.1 (72.5%);MA0874.1 (70.5%)				Homologous_PWM	M00354_2.00 (72.5%);M02111_2.00 (70.9%);M02231_2.00 (74.6%);M03076_2.00 (70.5%);M03204_2.00 (98.5%);M03855_2.00 (71.6%);M05367_2.00 (82.0%);M05419_2.00 (70.9%);M06291_2.00 (71.1%);M06326_2.00 (71.4%);MA0630.1 (82.0%);MA0680.1 (70.9%);MA0681.1 (71.4%);MA0713.1 (71.4%);MA0720.1 (94.0%);MA0721.1 (70.9%);MA0780.1 (72.5%);MA0874.1 (70.5%)	1
A0A087WVH9	zf-C2H2_4,C1_4,zf-C2H2,zf-C2H2_jaz,KRAB,zf-met,zf-H2C2_2,CxxC_CxxC_SSSS,Luteo_Vpg,Zn_Tnp_IS1595,zf-C2H2_6		M00939_2.00 (70.5%);M07627_2.00 (82.2%);M07628_2.00 (86.0%)				Homologous_PWM	M00939_2.00 (70.5%);M07627_2.00 (82.2%);M07628_2.00 (86.0%)	1
A0A087WVT1	zf-C2H2_4,C1_4,zf-RING_3,zf-C2H2,Ta0938,Prok-RING_1,zf-C2H2_jaz,XPA_N,zf-met,zf-H2C2_2,CxxC_CxxC_SSSS,RRN7,FYDLN_acid,zf-C2H2_6			M00939_2.00 (51.1%);M00943_2.00 (55.8%);M00944_2.00 (54.6%);M00948_2.00 (55.8%);M00950_2.00 (54.6%);M00952_2.00 (55.8%);M00953_2.00 (52.3%);M00958_2.00 (54.6%);M00959_2.00 (54.6%);M00960_2.00 (56.9%);M01432_2.00 (55.3%);M01439_2.00 (51.0%);M01440_2.00 (50.9%);M01868_2.00 (52.9%);M02924_2.00 (50.4%);M04387_2.00 (51.7%);MA1124.1 (50.8%)			Relatively_Homologous_PWM	M00939_2.00 (51.1%);M00943_2.00 (55.8%);M00944_2.00 (54.6%);M00948_2.00 (55.8%);M00950_2.00 (54.6%);M00952_2.00 (55.8%);M00953_2.00 (52.3%);M00958_2.00 (54.6%);M00959_2.00 (54.6%);M00960_2.00 (56.9%);M01432_2.00 (55.3%);M01439_2.00 (51.0%);M01440_2.00 (50.9%);M01868_2.00 (52.9%);M02924_2.00 (50.4%);M04387_2.00 (51.7%);MA1124.1 (50.8%)	1
