pfam_id	pfam_name	interpro_id	interpro_name	official_entry_url	official_source_status	failed_accession_count	failed_accessions	fragment_count	contacting_fragment_count	legacy_family_tokens	canonical_same_gene_examples	canonical_same_gene_pfam_context	modcre_interval_context	proposed_domain_role	proposed_is_expected_TF_DBD	is_expected_TF_DBD	evidence_summary	evidence_sources	confidence	review_status	reviewer	review_date	manual_review_notes
PF08347	N-terminal CTNNB1 binding	IPR013558	CTNNB1 binding, N-teminal	https://www.ebi.ac.uk/interpro/entry/pfam/PF08347/	RETRIEVED	6	D6RAB1;D6RID7;D6RIV1;E5RG75;E5RJ51;Q5VVR5	6	0	CTNNB1_binding;DUF605	P36402;Q9NQB0;Q9UJU2	"{""P36402"":[""PF08347:10-212:N-terminal CTNNB1 binding"",""PF00505:269-337:HMG (high mobility group) box""],""Q9NQB0"":[""PF08347:5-259:N-terminal CTNNB1 binding"",""PF00505:350-418:HMG (high mobility group) box"",""PF27556:462-489:Zinc finger protein 704 C-terminal domain""],""Q9UJU2"":[""PF08347:9-213:N-terminal CTNNB1 binding"",""PF00505:299-367:HMG (high mobility group) box""]}"	"{""P36402"":{""best_model_domains"":[""255:352""],""best_templates"":[""2lef""],""interface_audit_results_secondary_only"":[],""interval_count"":3,""interval_examples"":[""269:339"",""269:346"",""269:352""]},""Q9NQB0"":{""best_model_domains"":[""334:433""],""best_templates"":[""2lef""],""interface_audit_results_secondary_only"":[],""interval_count"":4,""interval_examples"":[""349:420"",""349:433"",""350:420"",""350:427""]},""Q9UJU2"":{""best_model_domains"":[""285:382""],""best_templates"":[""2lef""],""interface_audit_results_secondary_only"":[""PASS_NONEMPTY_PROTEIN_DNA_INTERFACE""],""interval_count"":5,""interval_examples"":[""297:366"",""298:369"",""298:382"",""299:369"",""299:376""]}}"	NON_DBD_PROTEIN_INTERACTION	NO	NO	This region binds CTNNB1/beta-catenin; canonical TCF/LEF proteins contain a separate PF00505 HMG-box DBD. Fragment contacts: 0/6; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF08347/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF08447	PAS fold	IPR013655	PAS fold 3	https://www.ebi.ac.uk/interpro/entry/pfam/PF08447/	RETRIEVED	1	B4E2U7	1	0	Dicty_REP;HIF-1;HIF-1a_CTAD;PAS;PAS_3;PAS_9				UNCERTAIN	NO	NO	The official entry establishes a PAS fold but does not assign a specific interaction or ligand role; canonical TFs carry a separate bHLH DBD. Fragment contacts: 0/1; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF08447/;data_sources/tf_family_tree.json;tf.family_text;tf_family	MEDIUM	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF08778	HIF-1 alpha C terminal transactivation domain	IPR014887	HIF-1 alpha, C-terminal transactivation domain	https://www.ebi.ac.uk/interpro/entry/pfam/PF08778/	RETRIEVED	1	B4E2U7	1	0	Dicty_REP;HIF-1;HIF-1a_CTAD;PAS;PAS_3;PAS_9				NON_DBD_TRANSCRIPTIONAL_REGULATORY	NO	NO	The official entry explicitly identifies the HIF-1 alpha C-terminal transactivation domain. Fragment contacts: 0/1; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF08778/;data_sources/tf_family_tree.json;tf.family_text;tf_family	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF10401	Interferon-regulatory factor 3	IPR019471	Interferon regulatory factor-3	https://www.ebi.ac.uk/interpro/entry/pfam/PF10401/	RETRIEVED	1	B4E1B1	1	1	IRF-3	Q92985	"{""Q92985"":[""PF00605:14-124:Interferon regulatory factor transcription factor"",""PF10401:289-463:Interferon-regulatory factor 3""]}"	"{""Q92985"":{""best_model_domains"":[""8:128""],""best_templates"":[""2o61""],""interface_audit_results_secondary_only"":[""PASS_NONEMPTY_PROTEIN_DNA_INTERFACE""],""interval_count"":2,""interval_examples"":[""8:128"",""17:122""]}}"	NON_DBD_PROTEIN_INTERACTION	NO	NO	Official evidence describes association with CREB-binding protein, while canonical IRFs carry the separate PF00605 IRF DBD. Fragment contacts: 1/1; treated as secondary evidence only.	https://www.ebi.ac.uk/interpro/entry/pfam/PF10401/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF11413	Hypoxia-inducible factor-1	IPR021537	Hypoxia-inducible factor, alpha subunit-like	https://www.ebi.ac.uk/interpro/entry/pfam/PF11413/	RETRIEVED	1	B4E2U7	1	0	Dicty_REP;HIF-1;HIF-1a_CTAD;PAS;PAS_3;PAS_9				UNCERTAIN	NO	NO	The official family text describes HIF-1 regulation and degradation but does not define a specific molecular role for this short region. Fragment contacts: 0/1; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF11413/;data_sources/tf_family_tree.json;tf.family_text;tf_family	LOW	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF11914	Domain of unknown function (DUF3432)	IPR021839	Early growth response protein 1, C-terminal	https://www.ebi.ac.uk/interpro/entry/pfam/PF11914/	RETRIEVED	1	B4DNX4	1	0	DUF3432				UNCERTAIN	UNCERTAIN	UNCERTAIN	The official entry calls DUF3432 functionally uncharacterised; association with zinc-finger proteins is insufficient to assign its own role. Fragment contacts: 0/1; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF11914/;data_sources/tf_family_tree.json;tf.family_text;tf_family	LOW	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF11928	Early growth response N-terminal domain	IPR021849	Early growth response, N-terminal	https://www.ebi.ac.uk/interpro/entry/pfam/PF11928/	RETRIEVED	4	A0A0S2Z3Q5;A0A1B0GUL0;B4DL38;B4DVG0	4	0	DUF3446	P11161	"{""P11161"":[""PF11928:94-204:Early growth response N-terminal domain"",""PF00096:340-364:Zinc finger, C2H2 type"",""PF00096:370-392:Zinc finger, C2H2 type"",""PF00096:398-420:Zinc finger, C2H2 type""]}"	"{""P11161"":{""best_model_domains"":[""324:434""],""best_templates"":[""4r2d""],""interface_audit_results_secondary_only"":[],""interval_count"":4,""interval_examples"":[""337:422"",""337:423"",""338:421"",""338:422""]}}"	UNCERTAIN	NO	NO	The official entry identifies an EGR N-terminal domain but does not establish its molecular role; canonical EGR has separate C2H2 DBDs. Fragment contacts: 0/4; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF11928/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	MEDIUM	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF12577	PPAR gamma N-terminal region	IPR022590	Peroxisome proliferator-activated receptor gamma, N-terminal	https://www.ebi.ac.uk/interpro/entry/pfam/PF12577/	RETRIEVED	4	A0A804HIG1;A0A804HLH1;E7EU07;Q6L9M1	4	0	PPARgamma_N	P37231	"{""P37231"":[""PF12577:31-108:PPAR gamma N-terminal region"",""PF00105:138-204:Double treble clef zinc finger, C4 type"",""PF00104:319-485:Ligand-binding domain of nuclear hormone receptor""]}"	"{""P37231"":{""best_model_domains"":[""135:505""],""best_templates"":[""3e00""],""interface_audit_results_secondary_only"":[],""interval_count"":7,""interval_examples"":[""135:215"",""135:505"",""136:505"",""139:209"",""139:214"",""139:215"",""139:500""]}}"	NON_DBD_TRANSCRIPTIONAL_REGULATORY	NO	NO	This PPAR-gamma N-terminal region is separate from canonical C4 zinc-finger and ligand-binding domains; the official entry cautions that it may not be a separate domain. Fragment contacts: 0/4; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF12577/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	MEDIUM	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF12796	Ankyrin repeats (3 copies)	IPR002110	Ankyrin repeat	https://www.ebi.ac.uk/interpro/entry/pfam/PF12796/	RETRIEVED	1	O14593	1	0	Ank;Ank_2;Ank_3;Ank_4;Ank_5				NON_DBD_PROTEIN_INTERACTION	NO	NO	Ankyrin repeats are protein-binding repeats; canonical NF-kappa-B-related architecture has a separate Rel-homology DBD. Fragment contacts: 0/1; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF12796/;data_sources/tf_family_tree.json;tf.family_text;tf_family	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF14598	PAS domain	-	-	https://www.ebi.ac.uk/interpro/entry/pfam/PF14598/	RETRIEVED	1	X5D8U0	1	0	PAS;PAS_3;PAS_6;PAS_9	Q9HBZ2	"{""Q9HBZ2"":[""PF00010:65-116:Helix-loop-helix DNA-binding domain"",""PF00989:140-243:PAS fold"",""PF14598:336-436:PAS domain""]}"	"{""Q9HBZ2"":{""best_model_domains"":[""59:454""],""best_templates"":[""5sy7""],""interface_audit_results_secondary_only"":[],""interval_count"":9,""interval_examples"":[""59:122"",""61:454"",""62:118"",""62:318"",""62:319"",""62:438"",""64:437"",""65:117""]}}"	NON_DBD_PROTEIN_INTERACTION	NO	NO	The official entry describes PAS-B binding to a STAT6 LXXLL motif; canonical bHLH-PAS TFs have a separate bHLH DBD. Fragment contacts: 0/1; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF14598/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF15951	MITF/TFEB/TFEC/TFE3 N-terminus	IPR031867	MiT/TFE transcription factors, N-terminal	https://www.ebi.ac.uk/interpro/entry/pfam/PF15951/	RETRIEVED	3	B1AKB1;C9J845;Q709A9	3	0	Activator_LAG-3;DUF2547;DUF605;MAS20;Ribophorin_I;Suf	O75030;P19484	"{""O75030"":[""PF15951:56-194:MITF/TFEB/TFEC/TFE3 N-terminus"",""PF00010:312-365:Helix-loop-helix DNA-binding domain"",""PF11851:397-521:Domain of unknown function (DUF3371)""],""P19484"":[""PF15951:4-162:MITF/TFEB/TFEC/TFE3 N-terminus"",""PF00010:236-289:Helix-loop-helix DNA-binding domain"",""PF11851:321-473:Domain of unknown function (DUF3371)""]}"	"{""O75030"":{""best_model_domains"":[""308:393""],""best_templates"":[""1am9""],""interface_audit_results_secondary_only"":[""PASS_NONEMPTY_PROTEIN_DNA_INTERFACE""],""interval_count"":11,""interval_examples"":[""308:363"",""308:364"",""308:365"",""308:393"",""309:364"",""309:367"",""309:370"",""311:373""]},""P19484"":{""best_model_domains"":[""232:304""],""best_templates"":[""1am9""],""interface_audit_results_secondary_only"":[],""interval_count"":8,""interval_examples"":[""232:288"",""232:289"",""232:294"",""233:288"",""233:290"",""234:289"",""235:304"",""237:288""]}}"	UNCERTAIN	NO	NO	The official entry locates this region at the N-terminus of MiT/TFE factors but gives no molecular role; canonical proteins have a separate bHLH DBD. Fragment contacts: 0/3; contacts are not a role criterion.	https://www.ebi.ac.uk/interpro/entry/pfam/PF15951/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	MEDIUM	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
PF17725	YAP binding domain	IPR041086	YAP binding domain	https://www.ebi.ac.uk/interpro/entry/pfam/PF17725/	RETRIEVED	2	E9PKB7;Q59EF3	2	2	TEA	P28347	"{""P28347"":[""PF01285:32-98:TEA/ATTS domain"",""PF17725:215-423:YAP binding domain""]}"	"{""P28347"":{""best_model_domains"":[""31:124""],""best_templates"":[""5nnx""],""interface_audit_results_secondary_only"":[],""interval_count"":3,""interval_examples"":[""31:104"",""32:104"",""34:124""]}}"	NON_DBD_PROTEIN_INTERACTION	NO	NO	The official entry identifies a YAP/TAZ-binding domain and distinguishes it from the N-terminal PF01285 TEA DBD. Fragment contacts: 2/2; treated as secondary evidence only.	https://www.ebi.ac.uk/interpro/entry/pfam/PF17725/;data/tf_webdb.sqlite (mode=ro);outputs/af3_failed_102_domain_inventory.tsv;data_sources/tf_family_tree.json;tf.family_text;tf_family;external/baldo_model_inventory/af3_failed_same_gene_modcre_candidates_v2.tsv;external/baldo_model_inventory/af3_failed_same_gene_modcre_interface_audit.tsv	HIGH	REVIEWED_FOR_AF3_102_AUDIT	Patricia	2026-07-31	
